f11, f12, f13, f14, D, E, DE, D2E, DE2, DE3, D2E3, D0E0
50, 50, 0, 50, 2, 4, 0, 0, 0, 0, 0, 0
50, 50, 0, 100, 2, 4, 0, 0, 0, 0, 0, 0
50, 50, 0, 150, 1, 3, 1, 0, 0, 0, 0, 0
50, 100, 0, 50, 2, 4, 0, 0, 0, 0, 0, 0
50, 100, 0, 100, 2, 4, 0, 0, 0, 0, 0, 0
50, 100, 0, 150, 0, 2, 2, 0, 0, 0, 0, 0
50, 150, 0, 50, 2, 4, 0, 0, 0, 0, 0, 0
50, 150, 0, 100, 2, 4, 0, 0, 0, 0, 0, 0
50, 150, 0, 150, 0, 1, 1, 0, 1, 0, 0, 0
100, 50, 0, 50, 2, 4, 0, 0, 0, 0, 0, 0
100, 50, 0, 100, 2, 4, 0, 0, 0, 0, 0, 0
100, 50, 0, 150, 0, 2, 0, 0, 0, 0, 0, 3
100, 100, 0, 50, 2, 4, 0, 0, 0, 0, 0, 0
100, 100, 0, 100, 1, 2, 0, 0, 0, 0, 0, 2
100, 100, 0, 150, 0, 0, 0, 0, 0, 0, 0, 2
100, 150, 0, 50, 0, 1, 1, 0, 1, 0, 0, 0
100, 150, 0, 100, 0, 1, 0, 0, 0, 0, 0, 2
100, 150, 0, 150, 0, 0, 0, 0, 0, 0, 0, 6
150, 50, 0, 50, 0, 3, 0, 0, 0, 0, 0, 5
150, 50, 0, 100, 0, 1, 0, 0, 0, 0, 0, 3
150, 50, 0, 150, 0, 0, 0, 0, 0, 0, 0, 6
150, 100, 0, 50, 0, 1, 1, 0, 0, 0, 0, 4
150, 100, 0, 100, 0, 1, 0, 0, 0, 0, 1, 0
150, 100, 0, 150, 0, 0, 0, 0, 0, 0, 0, 7
150, 150, 0, 50, 0, 0, 0, 0, 0, 0, 0, 7
150, 150, 0, 100, 0, 0, 0, 0, 0, 0, 0, 4
150, 150, 0, 150, 0, 0, 0, 0, 0, 0, 0, 7
